dataset,codec,num_variants,mean_eer_percent,std_eer_percent,mean_min_dcf,std_min_dcf,mean_eer_ci95_upper,num_overlap_variants,num_zero_eer_variants,num_fragile_zero_variants
afrinames,DAC,3,0.0,0.0,0.0,0.0,,0,3,0
afrinames,Encodec,4,0.3833333333333334,0.22173557826083454,0.1275,0.03841404546372183,,0,0,0
afrinames,UniCodec,1,0.6666666666666667,0.0,0.24533333333333335,0.0,,0,0,0
afrinames,LanguageCodec,4,1.1007462686567164,0.42008694959692916,0.16044776119402984,0.016264548296793555,,0,0,0
afrinames,WavTokenizer,6,1.2222222222222223,0.9652607912174452,0.3171111111111111,0.17406838446178502,,0,0,0
afrinames,SemantiCodec,6,2.805555555555556,0.8300862665268853,0.3396666666666667,0.06868149785894413,,0,0,0
afrinames,FocalCodec,6,22.77777777777778,5.17639466505357,0.8987777777777778,0.08134099842448059,,0,0,0
afrispeech_dialog,DAC,3,0.0,0.0,0.0,0.0,,0,3,0
afrispeech_dialog,Encodec,4,0.0,0.0,0.0,0.0,,0,4,0
afrispeech_dialog,LanguageCodec,4,0.0,0.0,0.0,0.0,,0,4,0
afrispeech_dialog,WavTokenizer,6,0.4761904761904762,0.7255350002619573,0.061224489795918366,0.07726405912653433,,0,3,0
afrispeech_dialog,SemantiCodec,6,1.2755102040816326,0.9083925415696354,0.44013605442176873,0.31331608236293745,,0,2,0
afrispeech_dialog,FocalCodec,6,16.139455782312925,2.303966744744088,0.9251700680272109,0.05732074675630171,,0,0,0
afrispeech_dialog,UniCodec,1,20.408163265306122,0.0,1.0,0.0,,0,0,0
afrispeech_multilingual,DAC,3,0.0,0.0,0.0,0.0,,0,3,0
afrispeech_multilingual,Encodec,4,0.0,0.0,0.0,0.0,,0,4,0
afrispeech_multilingual,LanguageCodec,4,0.0,0.0,0.0,0.0,,0,4,0
afrispeech_multilingual,SemantiCodec,6,0.48333333333333334,0.34840908267278115,0.231,0.06610597552415363,,0,0,0
afrispeech_multilingual,UniCodec,1,1.0,0.0,0.21,0.0,,0,0,0
afrispeech_multilingual,WavTokenizer,6,1.5083333333333335,1.8353965662917526,0.253,0.2400305536107157,,0,0,0
afrispeech_multilingual,FocalCodec,6,25.483333333333334,5.809809711934539,0.9816666666666667,0.0157233018867611,,0,0,0
