dataset,codec,variant,eer_percent,min_dcf,eer_percent_ci95_lower,eer_percent_ci95_upper,has_overlap,margin,num_trials,model_type,quality_flag,file
afrinames,DAC,out_16kbps,0.0,0.0,,,,,1265,mfcc,zero_eer_no_ci,results/ASV/metrics/afrinames_DAC_out_16kbps_asv.json
afrinames,DAC,out_24kbps,0.0,0.0,,,,,1265,mfcc,zero_eer_no_ci,results/ASV/metrics/afrinames_DAC_out_24kbps_asv.json
afrinames,DAC,out_8kbps,0.0,0.0,,,,,1265,mfcc,zero_eer_no_ci,results/ASV/metrics/afrinames_DAC_out_8kbps_asv.json
afrinames,Encodec,out_12kbps,0.16666666666666669,0.106,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_Encodec_out_12kbps_asv.json
afrinames,Encodec,out_24kbps,0.5333333333333334,0.09266666666666666,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_Encodec_out_24kbps_asv.json
afrinames,Encodec,out_3kbps,0.6666666666666667,0.19199999999999998,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_Encodec_out_3kbps_asv.json
afrinames,Encodec,out_6kbps,0.16666666666666669,0.11933333333333333,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_Encodec_out_6kbps_asv.json
afrinames,FocalCodec,focalcodec_12_5hz,30.533333333333335,0.9666666666666667,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_FocalCodec_focalcodec_12_5hz_asv.json
afrinames,FocalCodec,focalcodec_25hz,20.0,0.886,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_FocalCodec_focalcodec_25hz_asv.json
afrinames,FocalCodec,focalcodec_50hz_2k_causal,26.066666666666666,0.9266666666666666,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_FocalCodec_focalcodec_50hz_2k_causal_asv.json
afrinames,FocalCodec,focalcodec_50hz_4k_causal,24.6,0.9599999999999999,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_FocalCodec_focalcodec_50hz_4k_causal_asv.json
afrinames,FocalCodec,focalcodec_50hz_65k_causal,21.46666666666667,0.9266666666666666,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_FocalCodec_focalcodec_50hz_65k_causal_asv.json
afrinames,FocalCodec,focalcodec_50hz,14.000000000000002,0.7266666666666667,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_FocalCodec_focalcodec_50hz_asv.json
afrinames,LanguageCodec,bandwidth_0,1.3432835820895521,0.16417910447761194,,,,,737,mfcc,nonzero_eer,results/ASV/metrics/afrinames_LanguageCodec_bandwidth_0_asv.json
afrinames,LanguageCodec,bandwidth_1,1.3432835820895521,0.16417910447761194,,,,,737,mfcc,nonzero_eer,results/ASV/metrics/afrinames_LanguageCodec_bandwidth_1_asv.json
afrinames,LanguageCodec,bandwidth_2,0.3731343283582089,0.13432835820895522,,,,,737,mfcc,nonzero_eer,results/ASV/metrics/afrinames_LanguageCodec_bandwidth_2_asv.json
afrinames,LanguageCodec,bandwidth_3,1.3432835820895521,0.1791044776119403,,,,,737,mfcc,nonzero_eer,results/ASV/metrics/afrinames_LanguageCodec_bandwidth_3_asv.json
afrinames,SemantiCodec,0.31kbps,3.5000000000000004,0.4666666666666667,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_SemantiCodec_0.31kbps_asv.json
afrinames,SemantiCodec,0.33kbps,4.0,0.33266666666666667,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_SemantiCodec_0.33kbps_asv.json
afrinames,SemantiCodec,0.63kbps,3.3333333333333335,0.23333333333333334,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_SemantiCodec_0.63kbps_asv.json
afrinames,SemantiCodec,0.68kbps,2.0,0.3466666666666667,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_SemantiCodec_0.68kbps_asv.json
afrinames,SemantiCodec,1.25kbps,2.0,0.34600000000000003,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_SemantiCodec_1.25kbps_asv.json
afrinames,SemantiCodec,1.40kbps,2.0,0.3126666666666667,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_SemantiCodec_1.40kbps_asv.json
afrinames,UniCodec,out_6.6kbps,0.6666666666666667,0.24533333333333335,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_UniCodec_out_6.6kbps_asv.json
afrinames,WavTokenizer,WavTokenizer_large-speech-75token,0.6666666666666667,0.15933333333333333,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_WavTokenizer_WavTokenizer_large-speech-75token_asv.json
afrinames,WavTokenizer,WavTokenizer_large-unify-40token,1.2333333333333334,0.30466666666666664,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_WavTokenizer_WavTokenizer_large-unify-40token_asv.json
afrinames,WavTokenizer,WavTokenizer_medium-music-audio-75token,0.7666666666666667,0.33066666666666666,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_WavTokenizer_WavTokenizer_medium-music-audio-75token_asv.json
afrinames,WavTokenizer,WavTokenizer_medium-speech-75token,0.6666666666666667,0.1,,,,,1650,mfcc,nonzero_eer,results/ASV/metrics/afrinames_WavTokenizer_WavTokenizer_medium-speech-75token_asv.json
