dataset,codec,num_variants,mean_acc_percent,std_acc_percent,mean_map_percent,std_map_percent,mean_acc_ci95_lower,mean_acc_ci95_upper,mean_map_ci95_lower,mean_map_ci95_upper,num_excellent_variants,num_weak_variants
afrinames,DAC,3,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,3,0
afrinames,LanguageCodec,4,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,4,0
afrinames,UniCodec,1,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,1,0
afrinames,Encodec,4,99.5,0.5527707983925652,99.75,0.27638539919628474,98.6625,100.0,99.33125,100.0,3,0
afrinames,WavTokenizer,6,96.33333333333334,4.14103225635205,98.1111111111111,2.111111111111117,94.10555555555555,98.33333333333333,96.94212962962963,99.13009259259259,2,0
afrinames,SemantiCodec,6,93.22222222222223,4.062778955284942,95.89611314611314,2.5984885314371824,89.21944444444445,96.55555555555556,93.58352716727717,97.96119251119251,0,0
afrinames,FocalCodec,6,16.666666666666668,11.469767022723502,28.031777722662778,12.674779051043148,11.555555555555555,22.336111111111112,23.022213682281,33.48589210019121,0,6
afrispeech_dialog,DAC,3,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,3,0
afrispeech_dialog,Encodec,4,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,4,0
afrispeech_dialog,LanguageCodec,4,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,4,0
afrispeech_dialog,WavTokenizer,6,98.29931972789116,2.177933414092806,99.09297052154196,1.2052319515572192,95.56972789115646,100.0,97.67148526077096,100.0,3,0
afrispeech_dialog,SemantiCodec,6,91.49659863945578,6.169509233747299,95.69160997732426,3.1399960145410946,85.37414965986395,97.62755102040816,92.57227891156462,98.81377551020408,2,0
afrispeech_dialog,FocalCodec,6,30.952380952380953,10.433919489916983,46.30362861716444,9.15342180989489,19.71938775510204,44.226190476190474,37.021229767003746,57.10795780294707,0,6
afrispeech_dialog,UniCodec,1,6.122448979591836,0.0,21.85769587555302,0.0,0.0,16.3265306122449,16.73229888025806,30.368220746090646,0,1
afrispeech_multilingual,DAC,3,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,3,0
afrispeech_multilingual,Encodec,4,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,4,0
afrispeech_multilingual,LanguageCodec,4,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,4,0
afrispeech_multilingual,UniCodec,1,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,1,0
afrispeech_multilingual,SemantiCodec,6,98.16666666666667,1.3437096247164249,99.0,0.7698003589194994,95.325,99.83333333333333,97.44097222222223,99.91666666666667,3,0
afrispeech_multilingual,WavTokenizer,6,96.33333333333333,3.7712361663282534,97.67936507936508,2.4655857573266804,93.49166666666667,98.5,95.73005952380953,99.06170634920635,3,0
afrispeech_multilingual,FocalCodec,6,9.833333333333334,7.033649282003064,21.3858286388029,9.60187399049844,4.6625,15.8375,16.226648949307098,26.931619975273886,0,6
